1,Portero
2,Defensa central
3,Lateral izquierdo
4,Lateral derecho
5,Pivote
6,Mediocentro
7,Mediocentro ofensivo
8,Extremo izquierdo
9,Extremo derecho
10,Mediapunta
11,Delantero centro
12,Interior derecho
13,Interior izquierdo
